name,age,gender,profession,morality,brutishness,mercantileAbility,craftingAbility,cleverness,lawfulness
Susan,50,Female,Craftsman,17,48,70,21,80,83
Margaret,77,Female,Craftsman,48,15,48,8,78,30
Dorothy,81,Female,None,20,46,49,24,77,60
Lisa,40,Female,Miner,46,75,32,46,59,73
Nancy,25,Female,Mercenary,82,78,19,85,19,8
Karen,92,Female,Adventurer,78,31,28,9,86,45
Helen,78,Female,Mercenary,47,96,57,24,57,52
Sandra,89,Female,Craftsman,27,82,71,53,9,88
Donna,88,Female,Farmer,84,68,8,99,20,22
Carol,37,Female,Adventurer,89,31,97,89,32,82
Ruth,17,Female,Miner,54,57,54,64,3,44
Sharon,79,Female,Adventurer,16,23,95,21,53,41
Betty,29,Female,Mercenary,52,59,71,56,10,75
Laura,90,Female,Craftsman,49,99,36,74,23,47
Sarah,90,Female,Mercenary,60,34,31,69,95,56
Kimberly,52,Female,Adventurer,37,85,90,95,2,73
Deborah,61,Female,Adventurer,34,45,45,92,73,89
Mary,32,Female,Farmer,69,19,11,10,64,91
Patricia,54,Female,Mercenary,99,46,14,54,98,66
Linda,45,Female,Miner,42,46,6,2,41,4
Michelle,68,Female,Farmer,42,6,19,100,88,53
Barbara,26,Female,Mercenary,97,19,26,82,49,93
Elizabeth,17,Female,Scavenger,9,94,13,72,28,14
Maria,63,Female,Craftsman,11,18,72,82,47,4
Jessica,97,Female,Miner,17,36,99,78,49,94
Shirley,55,Female,Craftsman,89,74,76,79,75,35
Angela,85,Female,Farmer,6,83,18,96,45,2
Melissa,84,Female,Farmer,78,95,88,67,4,86
Brenda,29,Female,Panhandler,12,34,6,58,85,37
Jennifer,50,Female,Farmer,93,5,44,15,62,84
Cynthia,98,Female,Miner,28,91,5,90,96,85
Amy,86,Female,Farmer,67,9,89,63,19,2
Rebecca,89,Female,None,48,11,87,23,89,92
Anna,63,Female,Scavenger,1,84,2,62,52,55
Carolyn,71,Female,Miner,22,65,41,74,5,29
Christine,12,Female,Merchant,42,36,75,21,64,75
Marie,13,Female,Scavenger,5,87,31,89,6,53
Janet,82,Female,Farmer,15,72,61,28,14,7
Catherine,17,Female,None,54,80,78,94,75,72
Frances,98,Female,Craftsman,90,2,10,8,65,36
